derived_sample_id	arabiensis_prob_mean	coluzzii_prob_mean	fontenillei_prob_mean	gambiae_prob_mean	gcx1_prob_mean	gcx2_prob_mean	gcx3_prob_mean	gcx4_prob_mean	melas_prob_mean	merus_prob_mean	quadriannulatus_prob_mean	max_mean_prob_taxon	max_mean_taxon_prob_diff	max_mean_taxon_prob_qual	arabiensis_votes	coluzzii_votes	fontenillei_votes	gambiae_votes	gcx1_votes	gcx2_votes	gcx3_votes	gcx4_votes	melas_votes	merus_votes	quadriannulatus_votes	max_votes_taxon	max_votes_taxon_ratio_diff
VBS83473-7466STDY14207188	0.9975107296137339	0.00038626609442060086	0.0	0.0017167381974248928	0.0	0.0002145922746781116	4.291845493562232e-05	0.0	8.583690987124464e-05	0.0	4.291845493562232e-05	arabiensis	0.995793991416309	27.642134802683675	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83474-7466STDY14207189	0.9972961373390559	0.0010300429184549357	0.0	0.001502145922746781	4.291845493562232e-05	8.583690987124464e-05	0.0	4.291845493562232e-05	0.0	0.0	0.0	arabiensis	0.9957939914163091	28.22111984770783	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83475-7466STDY14207190	0.9978969957081545	0.0005150214592274677	4.291845493562232e-05	0.0012875536480686696	8.583690987124464e-05	8.583690987124464e-05	4.291845493562232e-05	0.0	0.0	4.291845493562232e-05	0.0	arabiensis	0.9966094420600858	28.893203477504883	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83476-7466STDY14207191	0.9975536480686695	0.0004721030042918455	0.0	0.0017596566523605149	4.291845493562232e-05	4.291845493562232e-05	0.0	0.0	0.0	0.00012875536480686693	0.0	arabiensis	0.995793991416309	27.535083008537022	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83477-7466STDY14207192	0.9979399141630901	0.00038626609442060086	4.291845493562232e-05	0.001459227467811159	0.0	8.583690987124464e-05	0.0	4.291845493562232e-05	0.0	4.291845493562232e-05	0.0	arabiensis	0.996480686695279	28.3498136752367	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83478-7466STDY14207193	0.9981115879828326	0.0005579399141630902	0.0	0.0011158798283261804	4.291845493562232e-05	8.583690987124464e-05	4.291845493562232e-05	0.0	0.0	4.291845493562232e-05	0.0	arabiensis	0.9969957081545064	29.515616319156	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83479-7466STDY14207194	0.9970386266094421	0.0009012875536480688	0.0	0.001759656652360515	0.00012875536480686693	4.291845493562232e-05	4.291845493562232e-05	0.0	8.583690987124464e-05	0.0	0.0	arabiensis	0.9952789699570815	27.53284023455667	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83480-7466STDY14207195	0.9981545064377683	0.0004291845493562232	0.00012875536480686693	0.001072961373390558	0.0	4.291845493562232e-05	0.0	0.0	4.291845493562232e-05	4.291845493562232e-05	8.583690987124464e-05	arabiensis	0.9970815450643777	29.686136437694383	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83481-7466STDY14207196	0.9980257510729613	0.0006866952789699571	4.291845493562232e-05	0.0011158798283261804	0.00012875536480686693	0.0	0.0	0.0	0.0	0.0	0.0	arabiensis	0.9969098712446351	29.515242812828646	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83482-7466STDY14207197	0.9979828326180258	0.00030042918454935627	0.00012875536480686693	0.0013304721030042918	0.0	0.00012875536480686693	8.583690987124464e-05	0.0	0.0	0.0	4.291845493562232e-05	arabiensis	0.9966523605150215	28.75117265175706	233	0	0	0	0	0	0	0	0	0	0	arabiensis	0.9999999999995709
VBS83483-7466STDY14207198	0.0013733905579399143	0.03759656652360515	4.291845493562232e-05	0.9481974248927039	0.006266094420600858	0.005493562231759657	0.00038626609442060086	0.0005579399141630902	0.0	4.291845493562232e-05	4.291845493562232e-05	gambiae	0.9106008583690988	14.01750585279512	0	1	0	232	0	0	0	0	0	0	0	gambiae	0.99141630901245
VBS83484-7466STDY14207199	0.001502145922746781	0.029313304721030043	8.583690987124464e-05	0.9553648068669528	0.007167381974248927	0.0056223175965665236	0.0006866952789699571	0.00012875536480686693	4.291845493562232e-05	4.291845493562232e-05	4.291845493562232e-05	gambiae	0.9260515021459228	15.131044548810547	0	0	0	233	0	0	0	0	0	0	0	gambiae	0.9999999999995709
